start_time,time,rat_present,habit,bat_landing_to_food,risk,reward,seconds_after_rat_arrival,bat_landing_number,rat_minutes,rat_arrival_number,food_availability
,2017-12-26 16:13:00,0,,,,,,20,0.0,0,4.0
,2017-12-26 16:43:00,0,,,,,,28,0.0,0,4.0
,2017-12-26 17:13:00,0,,,,,,25,0.0,0,4.0
,2017-12-26 17:43:00,0,,,,,,71,0.0,0,4.0
,2017-12-26 18:13:00,0,,,,,,44,0.0,0,3.753856942
,2017-12-26 18:43:00,0,,,,,,44,0.0,0,3.147265077
,2017-12-26 19:13:00,0,,,,,,41,0.0,0,3.0
,2017-12-26 19:43:00,0,,,,,,54,0.0,0,3.0
,2017-12-26 20:13:00,0,,,,,,32,0.0,0,3.0
,2017-12-26 20:43:00,1,,,,,,51,1.283333333,2,2.968873797
2017-12-26 21:24:00,2017-12-26 21:13:00,1,rat,15.0,1,0,88,53,4.866666667,1,2.561403509
2017-12-26 21:24:00,2017-12-26 21:13:00,1,pick,6.0,0,1,113,53,4.866666667,1,2.561403509
2017-12-26 21:24:00,2017-12-26 21:13:00,1,fast,3.0,0,1,121,53,4.866666667,1,2.561403509
2017-12-26 21:24:00,2017-12-26 21:13:00,1,pick,5.0,0,1,128,53,4.866666667,1,2.561403509
2017-12-26 21:25:00,2017-12-26 21:13:00,1,pick,6.0,0,1,153,53,4.866666667,1,2.561403509
2017-12-26 21:26:00,2017-12-26 21:13:00,1,rat,10.0,1,0,208,53,4.866666667,1,2.561403509
2017-12-26 21:26:00,2017-12-26 21:13:00,1,bat_fight,1.0,1,0,216,53,4.866666667,1,2.561403509
,2017-12-26 21:43:00,1,,,,,,47,7.9,1,2.086587436
,2017-12-26 22:13:00,1,,,,,,75,0.133333333,1,2.0
,2017-12-26 22:43:00,0,,,,,,45,0.0,0,1.958064516
,2017-12-26 23:13:00,0,,,,,,30,0.0,0,1.55
,2017-12-26 23:43:00,0,,,,,,44,0.0,0,1.049289229
,2017-12-27 00:13:00,0,,,,,,30,0.0,0,0.542372881
,2017-12-27 16:13:00,0,,,,,,13,0.0,0,4.0
,2017-12-27 16:43:00,0,,,,,,18,0.0,0,4.0
,2017-12-27 17:13:00,0,,,,,,31,0.0,0,4.0
,2017-12-27 17:43:00,0,,,,,,35,0.0,0,4.0
,2017-12-27 18:13:00,0,,,,,,22,0.0,0,4.0
,2017-12-27 18:43:00,0,,,,,,24,0.0,0,3.964516129
,2017-12-27 19:13:00,0,,,,,,30,0.0,0,3.566666667
,2017-12-27 19:43:00,0,,,,,,73,0.0,0,3.102150538
,2017-12-27 20:13:00,0,,,,,,67,0.0,0,3.0
,2017-12-27 20:43:00,0,,,,,,2,0.0,0,3.0
,2017-12-27 21:13:00,0,,,,,,25,0.0,0,3.0
